               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1        0,0.603     ,0.40      ,2.38      ,0.0456    ,          ,          ,          ,          ,  -8192237
 DSO 1        1,0.508     ,0.99      ,3.77      ,0.0556    ,          ,          ,          ,          ,  -8182237
 DSO 1        2,0.762     ,-2.98     ,-3.97     ,0.0714    ,          ,          ,          ,          ,  -8172237
 DSO 1        3,0.683     ,-2.58     ,-1.39     ,0.0635    ,          ,          ,          ,          ,  -8162237
 DSO 1        4,0.524     ,2.78      ,-1.79     ,0.0556    ,          ,          ,          ,          ,  -8152237
 DSO 2        0,          ,          ,          ,          ,0.647     ,0.349     ,0.865     ,0.0183    ,  -8143174
 DSO 1        5,0.714     ,-0.40     ,-2.58     ,0.0556    ,          ,          ,          ,          ,  -8142237
 DSO 2        1,          ,          ,          ,          ,0.567     ,0.885     ,0.627     ,0.0202    ,  -8133174
 DSO 1        6,0.651     ,0.79      ,-0.20     ,0.0893    ,          ,          ,          ,          ,  -8132237
 DSO 2        2,          ,          ,          ,          ,0.429     ,0.369     ,0.528     ,0.0187    ,  -8123174
 DSO 1        7,0.571     ,-4.17     ,0.99      ,0.0357    ,          ,          ,          ,          ,  -8122237
 DSO 2        3,          ,          ,          ,          ,0.667     ,0.508     ,0.706     ,0.0294    ,  -8113174
 DSO 1        8,0.841     ,0.00      ,0.60      ,0.0615    ,          ,          ,          ,          ,  -8112237
 DSO 2        4,          ,          ,          ,          ,0.607     ,0.409     ,0.726     ,0.0258    ,  -8103174
 DSO 1        9,0.921     ,-2.18     ,0.20      ,0.0397    ,          ,          ,          ,          ,  -8102237
 DSO 2        5,          ,          ,          ,          ,0.310     ,-0.028    ,0.409     ,0.0167    ,  -8093174
 DSO 1       10,0.603     ,-1.59     ,0.20      ,0.0496    ,          ,          ,          ,          ,  -8092237
 DSO 2        6,          ,          ,          ,          ,0.131     ,0.032     ,0.369     ,0.0147    ,  -8083174
 DSO 1       11,0.635     ,-3.17     ,-0.20     ,0.0397    ,          ,          ,          ,          ,  -8082237
 DSO 2        7,          ,          ,          ,          ,0.409     ,0.290     ,0.528     ,0.0202    ,  -8073174
 DSO 1       12,0.762     ,1.19      ,-2.98     ,0.0833    ,          ,          ,          ,          ,  -8072237
 DSO 2        8,          ,          ,          ,          ,0.488     ,0.111     ,0.429     ,0.0119    ,  -8063174
 DSO 1       13,0.571     ,-1.39     ,-0.40     ,0.0536    ,          ,          ,          ,          ,  -8062237
 DSO 2        9,          ,          ,          ,          ,0.647     ,0.567     ,0.865     ,0.0159    ,  -8053174
 DSO 1       14,0.714     ,-4.17     ,1.59      ,0.0734    ,          ,          ,          ,          ,  -8052237
 DSO 2       10,          ,          ,          ,          ,0.667     ,0.448     ,0.508     ,0.0151    ,  -8043174
 DSO 1       15,0.540     ,-1.59     ,1.79      ,0.0317    ,          ,          ,          ,          ,  -8042237
 DSO 2       11,          ,          ,          ,          ,0.488     ,0.587     ,0.647     ,0.0222    ,  -8033174
 DSO 1       16,0.524     ,-1.79     ,3.37      ,0.0536    ,          ,          ,          ,          ,  -8032237
 DSO 2       12,          ,          ,          ,          ,0.508     ,0.409     ,0.786     ,0.0183    ,  -8023174
 DSO 1       17,0.651     ,-1.19     ,3.37      ,0.0298    ,          ,          ,          ,          ,  -8022237
 DSO 2       13,          ,          ,          ,          ,0.389     ,0.171     ,0.567     ,0.0198    ,  -8013174
 DSO 1       18,0.619     ,0.40      ,1.19      ,0.0536    ,          ,          ,          ,          ,  -8012237
 DSO 2       14,          ,          ,          ,          ,0.250     ,0.230     ,0.448     ,0.0163    ,  -8003174
 DSO 1       19,0.651     ,-1.19     ,-0.60     ,0.0516    ,          ,          ,          ,          ,  -8002237
 DSO 2       15,          ,          ,          ,          ,0.508     ,0.210     ,0.171     ,0.0202    ,  -7993174
 DSO 1       20,0.794     ,-2.98     ,-1.19     ,0.0615    ,          ,          ,          ,          ,  -7992237
 DSO 2       16,          ,          ,          ,          ,0.409     ,0.111     ,0.488     ,0.0147    ,  -7983174
 DSO 1       21,0.698     ,4.17      ,-1.39     ,0.0456    ,          ,          ,          ,          ,  -7982237
 DSO 2       17,          ,          ,          ,          ,0.885     ,0.766     ,0.786     ,0.0218    ,  -7973174
 DSO 1       22,0.810     ,-3.37     ,0.20      ,0.0893    ,          ,          ,          ,          ,  -7972237
 DSO 2       18,          ,          ,          ,          ,0.706     ,0.984     ,0.607     ,0.0183    ,  -7963174
 DSO 1       23,0.492     ,-3.17     ,3.37      ,0.0536    ,          ,          ,          ,          ,  -7962237
 DSO 2       19,          ,          ,          ,          ,0.647     ,0.746     ,0.687     ,0.0258    ,  -7953174
 DSO 1       24,0.587     ,4.17      ,1.98      ,0.0754    ,          ,          ,          ,          ,  -7952237
 DSO 2       20,          ,          ,          ,          ,0.409     ,0.389     ,0.528     ,0.0262    ,  -7943174
 DSO 1       25,0.571     ,-1.19     ,3.77      ,0.0794    ,          ,          ,          ,          ,  -7942237
 DSO 2       21,          ,          ,          ,          ,0.389     ,0.032     ,0.310     ,0.0163    ,  -7933174
 DSO 1       26,0.540     ,-2.38     ,0.79      ,0.0635    ,          ,          ,          ,          ,  -7932237
 DSO 2       22,          ,          ,          ,          ,0.111     ,0.190     ,0.290     ,0.0179    ,  -7923174
 DSO 1       27,0.651     ,-2.18     ,-2.38     ,0.0437    ,          ,          ,          ,          ,  -7922237
 DSO 2       23,          ,          ,          ,          ,0.111     ,0.250     ,0.488     ,0.0190    ,  -7913174
 DSO 1       28,0.524     ,0.40      ,-0.79     ,0.0575    ,          ,          ,          ,          ,  -7912237
 DSO 2       24,          ,          ,          ,          ,0.190     ,0.310     ,0.310     ,0.0175    ,  -7903174
 DSO 1       29,0.698     ,1.39      ,1.39      ,0.0298    ,          ,          ,          ,          ,  -7902237
 DSO 2       25,          ,          ,          ,          ,0.687     ,0.587     ,0.706     ,0.0214    ,  -7893174
